loan_amount,loan_repaid,crop_insured,years_of_exp_in_sericulture,training_on_sericulture,krishi_pond,borewell_recharge,rain_harvesting,own_compost_manure,own_vermi_compost,trenching_mulching,bio_fertilizers,mechanization,mulberry_diseases,affected_by_pest,rearing_cost,instrument_mgmt_cost,temp_mgmt,humidity_mgmt,airvent_temp_mgmt,rotary_mounting,seri_total_subsidy,income_per_acre,chawki_bivol,rearing_cost_missing
1.00E+05,0,1,25,0,0,0,0,1,0,0,1,0,1,0,1.00E+05,1500,1,1,1,0,50000,5263.157895,0,1.00E+05
60000,1,0,25,0,0,0,0,1,0,0,1,1,1,0,10000,1000,1,1,1,0,30000,0,0,10000
250000,0,1,20,0,0,0,0,1,0,0,1,0,1,1,20000,1000,1,1,1,0,65000,32258.06452,0,20000
1.00E+05,1,0,35,0,0,0,0,1,0,1,1,1,0,1,60000,3000,1,1,1,0,0,5555.555556,0,60000
20000,1,0,25,0,0,0,0,1,0,0,1,1,1,0,40000,1000,1,1,1,0,50000,40000,0,40000
2.00E+05,1,0,10,0,0,0,0,1,0,0,0,0,1,0,1.00E+05,2000,1,1,1,0,15000,66666.66667,0,1.00E+05
250000,1,0,15,0,0,0,0,1,0,0,1,0,0,0,25000,1000,1,1,1,0,30000,10000,0,25000
2.00E+05,1,0,20,1,0,0,0,1,0,0,0,1,1,0,1.00E+05,1500,1,1,1,0,35000,25000,0,1.00E+05
1.00E+05,1,0,20,1,0,0,0,1,0,0,1,1,1,0,110000,1500,1,1,1,0,0,116666.6667,0,110000
1.00E+05,0,0,25,0,0,0,0,1,0,0,1,1,1,1,20000,3000,1,1,1,0,50000,50000,0,20000
0,1,0,20,1,0,0,0,1,0,1,1,1,0,1,50000,3000,1,1,1,0,320000,1.00E+05,0,50000
0,1,0,30,1,0,0,0,1,0,1,1,1,1,1,20000,2000,1,1,1,0,99000,66666.66667,0,20000
0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,40000,3000,1,1,1,0,0,90909.09091,0,40000
0,1,0,10,0,0,0,0,1,0,1,1,1,0,1,55000,2000,1,1,1,0,0,75000,0,
0,1,0,18,0,0,0,0,1,0,0,1,1,1,1,25000,4000,1,1,1,0,0,45454.54545,0,25000
150000,1,0,35,1,0,0,0,1,0,1,1,1,1,1,30000,1500,1,1,1,0,78000,0,0,30000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,40000,3000,1,1,1,0,0,22222.22222,0,40000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,50000,1000,1,1,1,0,0,83333.33333,0,50000
